trial_id,K_true,noise_sd,method,K_selected,ARI,cent_rmse,cov_err,elapsed_sec
1,3,0.01,kmeans_sil,4,0.995166389915644,NaN,NaN,27.571766
1,3,0.01,vb_elbo,3,0.9183604166408,0.0255317290100294,0.831500679634157,180.140812
1,3,0.01,vb_icl,3,0.9183604166408,0.0255317290100294,0.831500679634157,0
1,3,0.01,vb_pred,7,0.998366294202494,3.93197308004869,49.7296720446572,125.382871
2,3,0.01,kmeans_sil,9,0.993210058869439,NaN,NaN,18.717131
2,3,0.01,vb_elbo,3,0.935973285120938,0.0312233406933814,0.786983945380677,208.695847
2,3,0.01,vb_icl,3,0.935973285120938,0.0312233406933814,0.786983945380677,0
2,3,0.01,vb_pred,11,0.993709396404802,3.90934340117257,43.5996061608375,163.247064
3,3,0.01,kmeans_sil,5,0.99514369337909,NaN,NaN,29.782438
3,3,0.01,vb_elbo,3,0.935736083040367,0.0231525555118281,0.656936332710135,213.928009
3,3,0.01,vb_icl,3,0.935736083040367,0.0231525555118281,0.656936332710135,0
3,3,0.01,vb_pred,5,0.994411369026393,4.82522504662062,38.8045658923051,107.298321
4,3,0.01,kmeans_sil,4,0.99789295060575,NaN,NaN,27.137447
4,3,0.01,vb_elbo,3,0.923912808799902,0.0229218491166133,0.809408403853941,222.15472
4,3,0.01,vb_icl,3,0.923912808799902,0.0229218491166133,0.809408403853941,0
4,3,0.01,vb_pred,6,0.998624605969287,3.06187344963364,0.809408403853941,275.277108
5,3,0.01,kmeans_sil,8,0.992955513087634,NaN,NaN,26.964287
5,3,0.01,vb_elbo,3,0.913218378426311,0.0252399094721258,0.608406125129408,155.117573
5,3,0.01,vb_icl,3,0.913218378426311,0.0252399094721258,0.608406125129408,0
5,3,0.01,vb_pred,8,0.998649532503983,2.6837127568348,34.0999455695728,160.580568
6,4,0.01,kmeans_sil,5,0.993751250973477,NaN,NaN,21.037153
6,4,0.01,vb_elbo,4,0.913157583222126,0.0326440264768389,1.4979698605383,103.771465
6,4,0.01,vb_icl,4,0.913157583222126,0.0326440264768389,1.4979698605383,0
6,4,0.01,vb_pred,11,0.992387663922304,3.85548298027363,61.0094887095886,83.492616
7,4,0.01,kmeans_sil,10,0.99160896421719,NaN,NaN,42.827876
7,4,0.01,vb_elbo,4,0.919925092473117,0.0273630544452893,0.849630147972517,184.284005
7,4,0.01,vb_icl,4,0.919925092473117,0.0273630544452893,0.849630147972517,0
7,4,0.01,vb_pred,10,0.998536622371609,2.50069532238057,39.0907288371391,214.037992
8,4,0.01,kmeans_sil,10,0.992401790019425,NaN,NaN,41.372472
8,4,0.01,vb_elbo,4,0.947008900335637,0.0272231612013203,0.790449575783807,136.312515
8,4,0.01,vb_icl,4,0.947008900335637,0.0272231612013203,0.790449575783807,0
8,4,0.01,vb_pred,12,0.996108119918637,2.98919758514416,0.790449575783806,138.247958
9,4,0.01,kmeans_sil,8,0.993403149186524,NaN,NaN,42.948366
9,4,0.01,vb_elbo,4,0.932676632124874,0.0310387086851688,1.09103155660422,152.05351
9,4,0.01,vb_icl,4,0.973878051314034,0.0310387086851688,1.09103155660422,0
9,4,0.01,vb_pred,12,0.965788263719208,1.78802057758041,33.1963566240562,164.48854
10,4,0.01,kmeans_sil,6,0.993155594995471,NaN,NaN,35.534286
10,4,0.01,vb_elbo,4,0.9191341737764,0.0240842789246284,0.838485244281914,103.688252
10,4,0.01,vb_icl,4,0.9191341737764,0.0240842789246284,0.838485244281914,0
10,4,0.01,vb_pred,9,1,1.84459681731755,0.838485244281913,112.778691
11,5,0.01,kmeans_sil,10,0.991442588526256,NaN,NaN,34.561368
11,5,0.01,vb_elbo,5,0.934350469084963,0.0287170834059973,1.11590950551461,73.270249
11,5,0.01,vb_icl,5,0.934350469084963,0.0287170834059973,1.11590950551461,0
11,5,0.01,vb_pred,11,0.997417805439714,2.29198828825633,1.11590950551461,116.314184
12,5,0.01,kmeans_sil,9,0.993556321612178,NaN,NaN,65.08474
12,5,0.01,vb_elbo,5,0.936350660890571,0.0400842975987062,1.78016957447194,240.125966
12,5,0.01,vb_icl,5,0.936350660890571,0.0400842975987062,1.78016957447194,0
12,5,0.01,vb_pred,11,1,1.61781390943632,1.78016957447194,450.631355
13,5,0.01,kmeans_sil,8,0.990765142570428,NaN,NaN,19.529021
13,5,0.01,vb_elbo,5,0.950433375247432,0.0360986348485552,1.26691828322905,59.450989
13,5,0.01,vb_icl,5,0.950433375247432,0.0360986348485552,1.26691828322905,0
13,5,0.01,vb_pred,12,0.959185486947328,1.87165382730512,1.26691828322905,67.826372
14,5,0.01,kmeans_sil,9,0.990448131500598,NaN,NaN,32.128667
14,5,0.01,vb_elbo,5,0.926788477550408,0.0338551440539225,1.28916531934201,109.679043
14,5,0.01,vb_icl,5,0.926788477550408,0.0338551440539225,1.28916531934201,0
14,5,0.01,vb_pred,10,0.9982470939132,3.12383154389654,20.75877725645,137.349634
15,5,0.01,kmeans_sil,9,0.993415838708367,NaN,NaN,64.927006
15,5,0.01,vb_elbo,5,0.942150930012794,0.0212376349755874,0.880714720604524,172.865349
15,5,0.01,vb_icl,5,0.942150930012794,0.0212376349755874,0.880714720604524,0
15,5,0.01,vb_pred,9,0.952230664014255,2.95956534972158,2.82827468629458,162.905086
16,6,0.01,kmeans_sil,9,0.990661460990367,NaN,NaN,32.178549
16,6,0.01,vb_elbo,6,0.953629217136356,0.0378003479580663,2.0291117278597,98.178083
16,6,0.01,vb_icl,6,0.953629217136356,0.0378003479580663,2.0291117278597,0
16,6,0.01,vb_pred,8,0.950108859647554,0.0777202525862313,3.76504489013114,55.797621
17,6,0.01,kmeans_sil,10,0.991055815348778,NaN,NaN,84.157881
17,6,0.01,vb_elbo,6,0.934257706739508,0.0261155478130173,0.995695236532229,234.691172
17,6,0.01,vb_icl,6,0.965894096003859,0.0261155478130173,0.995695236532229,0
17,6,0.01,vb_pred,12,0.99597365351451,1.83698444908214,0.995695236532229,330.313364
18,6,0.01,kmeans_sil,10,0.991030324793886,NaN,NaN,65.281408
18,6,0.01,vb_elbo,6,0.926613199671949,0.0351485070305126,1.00659861767435,154.142788
18,6,0.01,vb_icl,6,0.926613199671949,0.0351485070305126,1.00659861767435,0
18,6,0.01,vb_pred,11,1,1.48524045825229,1.00659861767435,176.334861
19,6,0.01,kmeans_sil,9,0.991014160190346,NaN,NaN,58.399654
19,6,0.01,vb_elbo,6,0.930080592124429,0.0312643003980876,1.02606637731621,124.120068
19,6,0.01,vb_icl,6,0.930080592124429,0.0312643003980876,1.02606637731621,0
19,6,0.01,vb_pred,12,0.998083997710317,3.35682527646782,17.5385475192487,150.07719
20,6,0.01,kmeans_sil,10,0.989950315546009,NaN,NaN,45.429334
20,6,0.01,vb_elbo,6,0.950303076970293,0.0319928336024631,1.29941092295112,113.191111
20,6,0.01,vb_icl,6,0.950303076970293,0.0319928336024631,1.29941092295112,0
20,6,0.01,vb_pred,9,0.962248149644439,0.0319928336024631,1.29941092295112,120.47913
21,7,0.01,kmeans_sil,10,0.98877838367768,NaN,NaN,107.201283
21,7,0.01,vb_elbo,7,0.93669459723577,0.0249711405749936,0.755606392428109,201.150748
21,7,0.01,vb_icl,7,0.93669459723577,0.0249711405749936,0.755606392428109,0
21,7,0.01,vb_pred,11,0.93669459723577,0.0249711405749936,0.755606392428109,121.452805
22,7,0.01,kmeans_sil,10,0.988634427404164,NaN,NaN,81.523537
22,7,0.01,vb_elbo,7,0.944385027617675,0.0377938242546568,1.14500236886302,102.494131
22,7,0.01,vb_icl,7,0.944385027617675,0.0377938242546568,1.14500236886302,0
22,7,0.01,vb_pred,11,1,1.74977861978209,14.3682245784226,210.885589
23,7,0.01,kmeans_sil,10,0.990225293463324,NaN,NaN,85.97094
